Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A01002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A01005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A01006	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A01007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A01008	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
A01009	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A01010	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A01011	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
A01014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A01015	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
A01016	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A01018	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A01019	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
A01020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A02003	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0
A02004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
A02005	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
A02006	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A02007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A02008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
A02010	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A02011	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
A02012	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A02013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
A02014	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
A02015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A02016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A02019	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
A02020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A03001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A03002	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A03003	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A03004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
A03006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
